TUCASEID,TEIO1ICD,TEIO1OCD,TRDTIND1,TRDTOCC1
20141110141468,8190,5860,41,17
20141110141540,-1,-1,-1,-1
20141110141632,7370,4840,36,16
20141110141682,5170,4760,22,16
20141110141721,-1,-1,-1,-1
20141110141775,6970,5700,32,17
20141110142057,-1,-1,-1,-1
20141110142134,-1,-1,-1,-1
20141110142174,7870,2200,40,8
20141110142267,-1,-1,-1,-1
20141110142305,-1,-1,-1,-1
20141110142355,8470,4600,43,15
20141110142400,-1,-1,-1,-1
20141110142444,7860,230,40,1
20141110142509,-1,-1,-1,-1
20141110142516,-1,-1,-1,-1
20141111141503,4380,5120,21,17
20141210140551,-1,-1,-1,-1
20141210141148,-1,-1,-1,-1
20141210141295,8870,8140,47,21
20141210141374,8190,3050,41,10
20141210141391,8680,4050,46,13
20141210141522,6970,735,32,2
20141210141823,8190,3255,41,10
20141210141946,9290,4600,50,15
20141210142101,5390,4720,22,16
20141211140064,-1,-1,-1,-1
20141211140107,5275,4720,22,16
20141211140568,-1,-1,-1,-1
20141211140667,-1,-1,-1,-1
20141211140771,8680,4110,46,13
20141211140912,6990,4810,33,16
20141211140936,770,6200,4,19
20141211141053,770,7315,4,20
20141211141177,-1,-1,-1,-1
20141211141178,-1,-1,-1,-1
20141211141309,-1,-1,-1,-1
20141211141938,7580,5700,38,17
20141211141993,-1,-1,-1,-1
20141211142025,-1,-1,-1,-1
20141211142292,8560,430,44,1
20141211142364,-1,-1,-1,-1
20141211142466,7380,4840,36,16
20141212140878,-1,-1,-1,-1
20141212141337,8290,3655,42,11
20141212141478,-1,-1,-1,-1
20141212141870,8470,2300,43,8
20141212142397,-1,-1,-1,-1
